%@2-E(SYM=1 ADR=2 CM1=3 CM2=4)
iLLUB,X0004.0,level central lubrication,
relb_8th_P01,R0693.1,P01:release brake 8th axis,
8th_soff_P01,R0693.2,P01:8th axis servo off,
1st_svf8_P01,R0693.3,P01:1st servo off 8th axis,
brel_8th_P01,R0693.4,P01:brake 8th axis released,
mcsten_P01,R0724.0,P01:macro start enable,
m_mcst_P01,R0724.1,P01:mem start macro call,
re_k_mc1_P01,R0724.2,P01:re key macro call 1,
m_k_mc1_P01,R0724.3,P01:mem key macro call 1,
re_k_mc2_P01,R0724.4,P01:re key macro call 2,
m_k_mc2_P01,R0724.5,P01:mem key macro call 2,
re_k_mc3_P01,R0724.6,P01:re key macro call 3,
m_k_mc3_P01,R0724.7,P01:mem macro call 3,
re_k_mc4_P01,R0725.0,P01:re key macro call 4,
m_k_mc4_P01,R0725.1,P01:mem key macro call 4,
m_mchd_P01,R0725.2,P01:mem hd selected before,
mcmoden_P01,R0725.3,P01:macro call mode enable,
mc_modeok_P01,R0725.4,P01:mc mode change finsihed,
dmcfin_P01,R0725.5,P01:delay mode completion,
K_MMEM_P01,R0900.0,P01:key mode mem,
K_MEDT_P01,R0900.1,P01:key mode edit,
K_MMDI_P01,R0900.2,P01:key mode mdi,
K_DNC_P01,R0900.3,P01:key dnc operation mode,
K_MREF_P01,R0900.4,P01:key mode ref,
K_MJ_P01,R0900.5,P01:key mode jog,
K_INC_P01,R0900.6,P01:key inc feed,
K_HD_P01,R0900.7,P01:key handle,
K_SBK_P01,R0902.0,P01:key single block,
K_SKIP_P01,R0902.1,P01:key block skip,
K_OSTP_P01,R0902.2,P01:key optional stop m01,
K_PGMT_P01,R0902.3,P01:key program test,
K_DRN_P01,R0902.4,P01:key dry run,
K_REST_P01,R0902.5,P01:key program restart,
K_TEACH_P01,R0902.6,P01:key teach in,
K_ST_P01,R0903.0,P01:key cycle start,
K_CYSP_P01,R0903.1,P01:key cycle stop,
K_PGSP_P01,R0903.2,P01:pgm stop key,
K_RST_P01,R0903.3,P01:reset key,
K_1AX_P01,R0904.0,P01:key 1st axis,
K_2AX_P01,R0904.1,P01:key 2nd axis,
K_3AX_P01,R0904.2,P01:key 3rd axis,
K_4AX_P01,R0904.3,P01:key 4th axis,
K_5AX_P01,R0904.4,P01:key 5th axis,
K_6AX_P01,R0904.5,P01:key 6th axis,
K_7AX_P01,R0904.6,P01:key 7th axis,
K_8AX_P01,R0904.7,P01:key 8th axis,
K_X1_P01,R0905.0,P01:key 1 increment,
K_X10_P01,R0905.1,P01:key 10 increment,
K_X100_P01,R0905.2,P01:key 100 increment,
K_X1000_P01,R0905.3,P01:key 1000 increment,
K_RT_P01,R0905.5,P01:key rapid traverse,
K_PLUS_P01,R0905.6,P01:key plus direction,
K_MINUS_P01,R0905.7,P01:key minus direction,
K_COOL_P01,R0906.0,P01:key coolant on / off,
K_SPCW_P01,R0907.0,P01:key spindle cw,
K_SPCCW_P01,R0907.1,P01:key spindle ccw,
K_SPSP_P01,R0907.2,P01:key spindle stop,
K_MC1_P01,R0908.1,P01:key macro call 1,
K_MC2_P01,R0908.2,P01:key macro call 2,
K_MC3_P01,R0908.3,P01:key macro call 3,
K_MC4_P01,R0908.4,P01:key macro call 4,
L_MMEM_P01,R0920.0,P01:led mode mem,
L_MEDT_P01,R0920.1,P01:led mode edit,
L_MMDI_P01,R0920.2,P01:led mode mdi,
L_DNC_P01,R0920.3,P01:led dnc operation,
L_MREF_P01,R0920.4,P01:led mode ref,
L_MJ_P01,R0920.5,P01:led mode jog,
L_INC_P01,R0920.6,P01:led mode inc,
L_HD_P01,R0920.7,P01:led mode handle,
L_SBK_P01,R0922.0,P01:led single block,
L_SKIP_P01,R0922.1,P01:led block skip,
L_OSTP_P01,R0922.2,P01:led optional stop m01,
L_PGMT_P01,R0922.3,P01:led program test,
L_DRN_P01,R0922.4,P01:led dry run,
L_REST_P01,R0922.5,P01:led program restart,
L_TEACH_P01,R0922.6,P01:led teach in mode,
L_STL_P01,R0923.0,P01:led cycle start lamp,
L_SPL_P01,R0923.1,P01:led cycle stop,
L_PGSP_P01,R0923.2,P01:led program stop,
L_RST_P01,R0923.3,P01:led rst key,
L_X1_P01,R0925.0,P01:led 1 increment,
L_X10_P01,R0925.1,P01:led 10 increment,
L_X100_P01,R0925.2,P01:led 100 increment,
L_X1000_P01,R0925.3,P01:led 1000 increment,
L_RT_P01,R0925.5,led rapid traverse,
L_COOL_P01,R0926.0,P01:led coolant on,
L_SPCW_P01,R0927.0,P01:led spindle cw,
L_SPCCW_P01,R0927.1,P01:led spindle ccw,
L_SPSP_P01,R0927.2,P01:led spindle stop,
L_MC1_P01,R0927.4,P01:led macro call 1,
L_MC2_P01,R0927.5,P01:led macro call 2,
L_MC3_P01,R0927.6,P01:led macro call 3,
L_MC4_P01,R0927.7,P01:led macro call 4,
L_1AX_P01,R0928.0,P01:led 1st axis sel.,
L_2AX_P01,R0928.1,P01:led 2nd axis sel.,
L_3AX_P01,R0928.2,P01:led 3rd axis sel.,
L_4AX_P01,R0928.3,P01:led 4th axis sel.,
L_5AX_P01,R0928.4,P01:led 5th axis sel.,
L_6AX_P01,R0928.5,P01:led 6th axis sel.,
L_7AX_P01,R0928.6,P01:led 7th axis sel.,
L_8AX_P01,R0928.7,P01:led 8th axis sel.,
L_1AXP_P01,R0929.0,P01:led 1st axis + dir.,
L_2AXP_P01,R0929.1,P01:led 2nd axis + dir.,
L_3AXP_P01,R0929.2,P01:led 3rd axis + dir.,
L_4AXP_P01,R0929.3,P01:led 4th axis + dir.,
L_5AXP_P01,R0929.4,P01:led 5th axis + dir.,
L_6AXP_P01,R0929.5,P01:led 6th axis + dir.,
L_7AXP_P01,R0929.6,P01:led 7th axis + dir.,
L_8AXP_P01,R0929.7,P01:led 8th axis + dir.,
L_1AXM_P01,R0930.0,P01:led 1st axis - dir.,
L_2AXM_P01,R0930.1,P01:led 2nd axis - dir.,
L_3AXM_P01,R0930.2,P01:led 3rd axis - dir.,
L_4AXM_P01,R0930.3,P01:led 4th axis - dir.,
L_5AXM_P01,R0930.4,P01:led 5th axis - dir.,
L_6AXM_P01,R0930.5,P01:led 6th axis - dir.,
L_7AXM_P01,R0930.6,P01:led 7th axis - dir.,
L_8AXM_P01,R0930.7,P01:led 8th axis - dir.,
INIT_F_P02,R1064.0,P02:initialisation finished,
SETMEM_P02,R1080.0,P02:force to mode mem,
SETSBK_P02,R1080.1,P02:force to single block,
SETDNC_P02,R1080.2,P02:force to dnc operation,
SETEDT_P02,R1080.3,P02:force to mode edit,
SETMDI_P02,R1080.4,P02:force to mode mdi,
SETJOG_P02,R1080.5,P02:force to mode jog,
SETREF_P02,R1080.6,P02:force mode ref,
SET_HD_P02,R1080.7,P02:force to mode handle,
SETINC_P02,R1081.0,P02:force to mode inc feed,
SETTCH_P02,R1081.1,P02:force teach in,
M_AUTO_P02,R1082.0,P02:automatic mode active,
M_MAN_P02,R1082.1,P02:manual mode active,
O_STOP_P02,R1082.2,P02:optional stop m01 active,
FEPGMT_P02,R1082.3,P02:falling edge program test,
MDCHEN_P02,R1082.4,P02:mode change enable,
M_MEM_P02,R1083.0,P02:mode mem selected,
M_EDT_P02,R1083.1,P02:mode edit selected,
M_MDI_P02,R1083.2,P02:mode mdi selected,
M_DNC_P02,R1083.3,P02:mode dnc selected,
M_JOG_P02,R1083.4,P02:mode jog selected,
M_REF_P02,R1083.5,P02:mode REF selected,
M_HD_P02,R1083.6,P02:mode HANDLE selected,
M_INC_P02,R1083.7,P02:mode INC selected,
M_REFJ_P02,R1084.0,P02:jog mode during ref,
M_TEACH_P02,R1084.1,P02:mode TEACH IN selected,
D_JOGMV_P02,R1084.2,P02:delay jog move,
m_mmem_P02,R1088.0,P02:memory mode mem,
m_medt_P02,R1088.1,P02:memory mode edit,
m_mmdi_P02,R1088.2,P02:memory mode mdi,
m_mref_P02,R1088.3,P02:memory mode ref,
m_mj_P02,R1088.4,P02:memory mode jog,
m_mhdi_P02,R1088.5,P02:memory mode handle / inc,
m_mdnc_P02,R1088.6,P02:memory dnc mode,
mk_sbk_P02,R1089.0,P02:memory key single block,
reksbk_P02,R1089.1,P02:re key single block,
mkskip_P02,R1089.2,P02:memory key skip,
rekskp_P02,R1089.3,P02:rising edge key skip,
mkostp_P02,R1089.4,P02:memory key optional stop,
rekosp_P02,R1089.5,P02:re key optional stop,
mk_drn_P02,R1089.6,P02:memory key dry run,
rekdrn_P02,R1089.7,P02:rising edge key dry run,
mkpgmt_P02,R1090.0,P02:memory key program test,
repgmt_P02,R1090.1,P02:rising edge key pgm test,
m_pgmt_P02,R1090.2,P02:memory program test,
hdsel_P02,R1090.3,P02:handle selected,
incsel_P02,R1090.4,P02:inc selected,
mdrefx_P02,R1090.5,P02:memory ref without dog,
rekteach_P02,R1091.0,P02:re key teach in,
mkteach_P02,R1091.1,P02:mem key teach in,
m_tchin_P02,R1091.2,P02:memory mode teach in,
re_krest_P02,R1091.3,P02:re program restart,
mkrest_P02,R1091.4,P02:mem key program restart,
M000_P02,R1100.0,P02:stop program run,
M001_P02,R1100.1,P02:optional stop,
M002_P02,R1100.2,P02:end of program,
M003_P02,R1100.3,P02:spindle start cw,
M004_P02,R1100.4,P02:spindle start ccw,
M005_P02,R1100.5,P02:spindle stop,
M006_P02,R1100.6,P02:tool change,
M007_P02,R1100.7,,
M008_P02,R1101.0,P02:coolant on,
M009_P02,R1101.1,P02:coolant off,
M010_P02,R1101.2,,
M011_P02,R1101.3,,
M012_P02,R1101.4,,
M013_P02,R1101.5,P02:sp start cw coolant on,
M014_P02,R1101.6,P02:sp start ccw coolant on,
M015_P02,R1101.7,,
M016_P02,R1102.0,,
M017_P02,R1102.1,,
M018_P02,R1102.2,,
M019_P02,R1102.3,P02:spindle orientation,
M020_P02,R1102.4,,
M021_P02,R1102.5,,
M022_P02,R1102.6,,
M023_P02,R1102.7,,
M024_P02,R1103.0,,
M025_P02,R1103.1,,
M026_P02,R1103.2,,
M027_P02,R1103.3,,
M028_P02,R1103.4,,
M029_P02,R1103.5,P02:rigid tapping,
M030_P02,R1103.6,P02:end of program,
M031_P02,R1103.7,,
M032_P02,R1104.0,,
M033_P02,R1104.1,,
M034_P02,R1104.2,,
M035_P02,R1104.3,,
M036_P02,R1104.4,,
M037_P02,R1104.5,,
M038_P02,R1104.6,,
M039_P02,R1104.7,,
M040_P02,R1105.0,,
M041_P02,R1105.1,,
M042_P02,R1105.2,,
M043_P02,R1105.3,,
M044_P02,R1105.4,,
M045_P02,R1105.5,,
M046_P02,R1105.6,,
M047_P02,R1105.7,,
M048_P02,R1106.0,,
M049_P02,R1106.1,,
M050_P02,R1106.2,,
M051_P02,R1106.3,,
M052_P02,R1106.4,,
M053_P02,R1106.5,,
M054_P02,R1106.6,,
M055_P02,R1106.7,,
M056_P02,R1107.0,,
M057_P02,R1107.1,,
M058_P02,R1107.2,,
M059_P02,R1107.3,,
M060_P02,R1107.4,,
M061_P02,R1107.5,,
M062_P02,R1107.6,,
M063_P02,R1107.7,,
M064_P02,R1108.0,,
M065_P02,R1108.1,,
M066_P02,R1108.2,,
M067_P02,R1108.3,,
M068_P02,R1108.4,,
M069_P02,R1108.5,,
M070_P02,R1108.6,,
M071_P02,R1108.7,,
M072_P02,R1109.0,,
M073_P02,R1109.1,,
M074_P02,R1109.2,,
M075_P02,R1109.3,,
M076_P02,R1109.4,,
M077_P02,R1109.5,,
M078_P02,R1109.6,,
M079_P02,R1109.7,,
M080_P02,R1110.0,,
M081_P02,R1110.1,,
M082_P02,R1110.2,,
M083_P02,R1110.3,,
M084_P02,R1110.4,,
M085_P02,R1110.5,,
M086_P02,R1110.6,,
M087_P02,R1110.7,,
M088_P02,R1111.0,,
M089_P02,R1111.1,,
M090_P02,R1111.2,,
M091_P02,R1111.3,,
M092_P02,R1111.4,,
M093_P02,R1111.5,,
M094_P02,R1111.6,,
M095_P02,R1111.7,,
M096_P02,R1112.0,,
M097_P02,R1112.1,,
M100_P02,R1112.4,P02:wp coord preset all axes,
M101_P02,R1112.5,P02:wp coord preset 1st axis,
M102_P02,R1112.6,P02:wp coord preset 2nd axis,
M103_P02,R1112.7,P02:wp coord preset 3rd axis,
M104_P02,R1113.0,P02:wp coord preset 4th axis,
M105_P02,R1113.1,P02:wp coord preset 5th axis,
M106_P02,R1113.2,P02:wp coord preset 6th axis,
M107_P02,R1113.3,P02:wp coord preset 7th axis,
M108_P02,R1113.4,P02:wp coord preset 8th axis,
M112_P02,R1114.0,,
M120_P02,R1115.0,,
M128_P02,R1116.0,,
M136_P02,R1117.0,,
M144_P02,R1118.0,,
M152_P02,R1119.0,,
M160_P02,R1120.0,,
M168_P02,R1121.0,,
M176_P02,R1122.0,,
M184_P02,R1123.0,,
M192_P02,R1124.0,,
M198_P02,R1124.6,external subprogram call,
M200_P02,R1125.0,,
M208_P02,R1126.0,,
M216_P02,R1127.0,,
M224_P02,R1128.0,,
M232_P02,R1129.0,,
M240_P02,R1130.0,,
M248_P02,R1131.0,,
M256_P02,R1132.0,,
M264_P02,R1133.0,,
M272_P02,R1134.0,,
M280_P02,R1135.0,,
M288_P02,R1136.0,,
M296_P02,R1137.0,,
M304_P02,R1138.0,,
M312_P02,R1139.0,,
M320_P02,R1140.0,,
M328_P02,R1141.0,,
M336_P02,R1142.0,,
M344_P02,R1143.0,,
M352_P02,R1144.0,,
M360_P02,R1145.0,,
M368_P02,R1146.0,,
M376_P02,R1147.0,,
M384_P02,R1148.0,,
M392_P02,R1149.0,,
M_NOK_P02,R1153.0,m-code out of range,
m1code_P02,R1154.0,P02:1st m code is active,
m1codm_P02,R1154.1,P02:memory 1st m code active,
rem1co_P02,R1154.2,P02:re 1st m code active,
fem1co_P02,R1154.3,P02:fe 1st m code active,
m1cook_P02,R1154.4,P02:impulse 1st m code ok,
erm1co_P02,R1154.5,P02:range error 1st m code,
edivm1_P02,R1154.6,P02:divsion error 1st m code,
exmwm1_P02,R1154.7,P02:error writing 1st m code,
m1exec_P02,R1155.0,P02:1st m-function executed,
m1fin_P02,R1155.1,P02:1st m-function finished,
m2code_P02,R1155.2,P02:2nd m code is active,
m2codm_P02,R1155.3,P02:memory 2nd m code active,
rem2co_P02,R1155.4,P02:re 2nd m code active,
fem2co_P02,R1155.5,P02:fe 2nd m code active,
m2cook_P02,R1155.6,P02:impulse 2nd m code ok,
erm2co_P02,R1155.7,P02:range error 2nd m code,
edivm2_P02,R1156.0,P02:divsion error 2nd m code,
exmwm2_P02,R1156.1,P02:error writing 2nd m code,
m2exec_P02,R1156.2,P02:2nd m-function executed,
m2fin_P02,R1156.3,P02:2nd m-function finished,
m3code_P02,R1156.4,P02:3rd m code is active,
m3codm_P02,R1156.5,P02:memory 3rd m code active,
rem3co_P02,R1156.6,P02:re 3rd m code active,
fem3co_P02,R1156.7,P02:fe 3rd m code active,
m3cook_P02,R1157.0,P02:impulse 3rd m code ok,
erm3co_P02,R1157.1,P02:range error 3rd m code,
edivm3_P02,R1157.2,P02:divsion error 3rd m code,
exmwm3_P02,R1157.3,P02:error writing 3rd m code,
m3exec_P02,R1157.4,P02:3rd m-function executed,
m3fin_P02,R1157.5,P02:3rd m-function finished,
exr1m2_P02,R1157.6,P02:error reading 2nd m code,
exr1m3_P02,R1157.7,P02:error reading 3rd m code,
m4code_P02,R1158.0,P02:4th m-code is active,
m4codm_P02,R1158.1,P02:memory 4th m-code active,
rem4co_P02,R1158.2,P02:re 4th m-code active,
fem4co_P02,R1158.3,P02:fe 4th m-code active,
m4cook_P02,R1158.4,P02:impulse 4th m-code ok,
erm4co_P02,R1158.5,P02:range error 4th m-code,
edivm4_P02,R1158.6,P02:divsion error 4th m-code,
exmwm4_P02,R1158.7,P02:error writing 4th m-code,
m4exec_P02,R1159.0,P02:4th m-function executed,
m4fin_P02,R1159.1,P02:4th m-function finished,
exr1m4_P02,R1159.2,P02:error reading 4th m-code,
m5code_P02,R1159.3,P02:5th m-code is active,
m5codm_P02,R1159.4,P02:memory 5th m-code active,
rem5co_P02,R1159.5,P02:re 5th m-code active,
fem5co_P02,R1159.6,P02:fe 5th m-code active,
m5cook_P02,R1159.7,P02:impulse 5th m-code ok,
erm5co_P02,R1160.0,P02:range error 5th m-code,
edivm5_P02,R1160.1,P02:divsion error 5th m-code,
exmwm5_P02,R1160.2,P02:error writing 5th m-code,
m5exec_P02,R1160.3,P02:5th m-function executed,
m5fin_P02,R1160.4,P02:5th m-function finished,
exr1m5_P02,R1160.5,P02:error reading 5th m-code,
SP_CW_P02,R1176.0,P02:spindle start cw,
SP_CCW_P02,R1176.1,P02:spindle start ccw,
RE_SCH_P02,R1176.2,P02:rising edge speed change,
s_code_P02,R1180.0,P02:s_code active,
s_fin_P02,R1180.1,P02:s_code finished,
nospch_P02,R1180.2,P02:no spindle speed change,
ms_cod_P02,R1180.3,P02:memory s_code,
mspcw_P02,R1180.4,P02:manual spindle start cw,
mspccw_P02,R1180.5,P02:manual spindle start ccw,
msp_sp_P02,R1180.6,P02:manual spindle stop,
sp_m_P02,R1181.0,P02:memory spindle turning,
spccwm_P02,R1181.1,P02:memory spindle turning ccw,
s_stpc_P02,R1181.2,P02:spindle stop conditions,
aspcw_P02,R1181.3,P02:sp start cw in auto-mode,
aspccw_P02,R1181.4,P02:sp start ccw in auto-mode,
t_code_P02,R1244.0,P02:t code active,
t_fin_P02,R1244.1,P02:t code finished,
b_code_P02,R1292.0,P02:b code is active,
b_fin_P02,R1292.1,P02:b code finished,
M_K1AX_P02,R1304.0,P02:memory 1st axis selected,
M_K2AX_P02,R1304.1,P02:memory 2nd axis selected,
M_K3AX_P02,R1304.2,P02:memory 3rd axis selected,
M_K4AX_P02,R1304.3,P02:memory 4th axis selected,
M_K5AX_P02,R1304.4,P02:memory 5th axis selected,
M_K6AX_P02,R1304.5,P02:memory 6th axis selected,
M_K7AX_P02,R1304.6,P02:memory 7th axis selected,
M_K8AX_P02,R1304.7,P02:memory 8th axis selected,
M_KPLUS_P02,R1305.0,P02:memory axis plus dir.,
M_KMINUS_P02,R1305.1,P02:memory axis minus dir.,
AX_MEN_P02,R1305.2,P02:axis move enable,
PGMRUN_P02,R1320.0,P02:program running,
ST_EN_P02,R1320.1,P02:program start enable,
RE_RST_P02,R1320.2,P02:rising edge reset,
FE_RST_P02,R1320.3,P02:falling edge reset,
MESRST_P02,R1320.4,P02:message reset,
RE_KST_P02,R1320.5,P02:re key cycle start,
M_KST_P02,R1320.6,P02:memory key cycle start,
M_STDIS_P02,R1320.7,P02:message start disable,
st_dis_P02,R1324.0,P02:program start disable,
m_rst_P02,R1324.1,P02:memory reset,
delrrw_P02,R1324.2,P02:delay for rrw signal,
rrwact_P02,R1324.3,P02:reset and rewind active,
re_stl_P02,R1324.4,P02:re stl signal,
m_stl_P02,R1324.5,P02:memory stl signal,
POW_OK_P02,R1336.0,P02:power supply axis ok,
SETUP_P02,R1336.1,P02:set-up active,
AXMOV_P02,R1352.0,P02:axes moving,
SER_ON_P02,R1352.1,P02:servo on,
REFRUN_P02,R1352.2,P02:reference return active,
D_REFx_P02,R1352.3,P02:ref return without dog,
REQWP1_P02,R1353.0,P02:req wp coord preset 1st ax,
REQWP2_P02,R1353.1,P02:req wp coord preset 2nd ax,
REQWP3_P02,R1353.2,P02:req wp coord preset 3rd ax,
REQWP4_P02,R1353.3,P02:req wp coord preset 4th ax,
REQWP5_P02,R1353.4,P02:req wp coord preset 5th ax,
REQWP6_P02,R1353.5,P02:req wp coord preset 6th ax,
REQWP7_P02,R1353.6,P02:req wp coord preset 7th ax,
REQWP8_P02,R1353.7,P02:req wp coord preset 8th ax,
mwpset_P02,R1356.0,P02:mem wp coordinate setting,
COOLON_P02,R1368.0,P02:coolant on,
M_COFF_P02,R1368.1,P02:message coolant off,
cool_m_P02,R1372.0,P02:memory coolant,
coolsp_P02,R1372.1,P02:stop coolant,
mkaco_P02,R1372.2,P02:mem key auto coolant on,
rekaco_P02,R1372.3,P02:re auto coolant on,
tacoof_P02,R1372.4,P02:temporary auto coolant off,
re_cool_P02,R1372.5,P02:re key coolant,
mkcool_P02,R1372.6,P02:mem key coolant,
M_1XXX_P02,R1416.0,P02:emergency message active,
e_divfovr_P02,R1468.0,P02:error divb feed ovr,
fovrlt1_P02,R1468.1,P02:feed override 0.1<=1,
mkspon_P02,R1468.2,P02:mem key spindle on,
rekspon_P02,R1468.3,P02:re key spindle on,
mkcon_P02,R1468.4,P02:mem key coolant on,
rekcool_P02,R1468.5,P02:re key coolant,
fekcool_P02,R1468.6,P02:fe key coolant,
SP_STP_P02,R1496.0,P02:spindle stopped,
SP_RUN_P02,R1496.1,P02:spindle is turning,
SP_SAR_P02,R1496.2,P02:spindle speed arrival,
SP_ALM_P02,R1496.3,P02:spindle alarm,
SP_S_NOK_P02,R1496.4,P02:spindle speed not ok,
sr_sar_P02,R1500.0,P02:restart timer for sp_sar,
pgspok_P02,R1500.1,P02:prog. spindle speed ok,
emuspov_P02,R1500.2,P02:multipl. err spindle ovr.,
edispov_P02,R1500.3,P02:division err spindle ovr.,
emusps_P02,R1500.4,P02:multipl. err spindle speed,
edisps_P02,R1500.5,P02:division err spindle speed,
e_spsp_P02,R1500.6,P02:reading motor speed exec,
emusps1_P02,R1500.7,P02:multipl. err spindle speed,
maxsdr_P02,R1501.0,P02:max. spindle speed reached,
msp_run_P02,R1501.1,P02:memory spindle run,
fesprn_P02,R1501.2,P02:falling edge spindle run,
e_spax_P02,R1501.3,P02:command spindle axis exec,
sp_neg_P02,R1501.4,P02:memory sp negative dir.,
sp_mindir_P02,R1501.5,P02:motor minus direction,
sp_ok_P02,R1501.6,P02:spindle speed reached,
sp_mset_P02,R1502.0,P02:max. spind. setup speed,
REF_OK_P02,R1528.0,P02:all axis referenced,
MHD1_P02,R1544.0,P02:memory handwheel 1st axis,
MHD2_P02,R1544.1,P02:memory handwheel 2nd axis,
MHD3_P02,R1544.2,P02:memory handwheel 3rd axis,
MHD4_P02,R1544.3,P02:memory handwheel 4th axis,
MHD5_P02,R1544.4,P02:memory handwheel 5th axis,
MHD6_P02,R1544.5,P02:memory handwheel 6th axis,
MHD7_P02,R1544.6,P02:memory handwheel 7th axis,
MHD8_P02,R1544.7,P02:memory handwheel 8th axis,
X_1_P02,R1545.0,P02:memory 1 increment,
X_10_P02,R1545.1,P02:memory 10 increment,
X_100_P02,R1545.2,P02:memory 100 increment,
X_1000_P02,R1545.3,P02:memory 1000 increment,
mhdinc_P02,R1548.0,memory handle/inc mode,
hd1sel_P02,R1549.0,P02:handwheel 1st axis sel.,
hd2sel_P02,R1549.1,P02:handwheel 2nd axis sel.,
hd3sel_P02,R1549.2,P02:handwheel 3rd axis sel.,
hd4sel_P02,R1549.3,P02:handwheel 4th axis sel.,
hd5sel_P02,R1549.4,P02:handwheel 5th axis sel.,
hd6sel_P02,R1549.5,P02:handwheel 6th axis sel.,
hd7sel_P02,R1549.6,P02:handwheel 7th axis sel.,
hd8sel_P02,R1549.7,P02:handwheel 8th axis sel.,
e_mulf_P02,R1564.0,P02:error multipl. feed/rapid,
e_subf_P02,R1564.1,P02:error subtract feed/rapid,
e_mulj_P02,R1564.2,P02:error multiplication jog,
e_subj_P02,R1564.3,P02:error subraction jog,
wppsreq1_P02,R1581.0,P02:req wp coord preset 1st ax,
relb_1st_P02,R1581.1,P02:release brake 1st axis,
1st_soff_P02,R1581.2,P02:1st axis servo off,
1st_svf1_P02,R1581.3,P02:1st servo off 1st axis,
brel_1st_P02,R1581.4,P02:brake 1st axis released,
wppsreq2_P02,R1597.0,P02:req wp coord preset 2nd ax,
relb_2nd_P02,R1597.1,P02:release brake 2nd axis,
2nd_soff_P02,R1597.2,P02:2nd axis servo off,
1st_svf2_P02,R1597.3,P02:1st servo off 2nd axis,
brel_2nd_P02,R1597.4,P02:brake 2nd axis released,
wppsreq3_P02,R1613.0,P02:req wp coord preset 3rd ax,
relb_3rd_P02,R1613.1,P02:release brake 3rd axis,
3rd_soff_P02,R1613.2,P02:3rd axis servo off,
1st_svf3_P02,R1613.3,P02:1st servo off 3rd axis,
brel_3rd_P02,R1613.4,P02:brake 3rd axis released,
wppsreq4_P02,R1629.0,P02:req wp coord preset 4th ax,
relb_4th_P02,R1629.1,P02:release brake 4th axis,
4th_soff_P02,R1629.2,P02:4th axis servo off,
1st_svf4_P02,R1629.3,P02:1st servo off 4th axis,
brel_4th_P02,R1629.4,P02:brake 4th axis released,
wppsreq5_P02,R1645.0,P02:req wp coord preset 5th ax,
relb_5th_P02,R1645.1,P02:release brake 5th axis,
5th_soff_P02,R1645.2,P02:5th axis servo off,
1st_svf5_P02,R1645.3,P02:1st servo off 5th axis,
brel_5th_P02,R1645.4,P02:brake 5th axis released,
wppsreq6_P02,R1661.0,P02:req wp coord preset 6th ax,
relb_6th_P02,R1661.1,P02:release brake 6th axis,
6th_soff_P02,R1661.2,P02:6th axis servo off,
1st_svf6_P02,R1661.3,P02:1st servo off 6th axis,
brel_6th_P02,R1661.4,P02:brake 6th axis released,
wppsreq7_P02,R1677.0,P02:req wp coord preset 7th ax,
relb_7th_P02,R1677.1,P02:release brake 7th axis,
7th_soff_P02,R1677.2,P02:7th axis servo off,
1st_svf7_P02,R1677.3,P02:1st servo off 7th axis,
brel_7th_P02,R1677.4,P02:brake 7th axis released,
wppsreq8_P02,R1693.0,P02:req wp coord preset 8th ax,
relb_8th_P02,R1693.1,P02:release brake 8th axis,
8th_soff_P02,R1693.2,P02:8th axis servo off,
1st_svf8_P02,R1693.3,P02:1st servo off 8th axis,
brel_8th_P02,R1693.4,P02:brake 8th axis released,
mcsten_P02,R1724.0,P02:macro start enable,
m_mcst_P02,R1724.1,P02:mem start macro call,
re_k_mc1_P02,R1724.2,P02:re key macro call 1,
m_k_mc1_P02,R1724.3,P02:mem key macro call 1,
re_k_mc2_P02,R1724.4,P02:re key macro call 2,
m_k_mc2_P02,R1724.5,P02:mem key macro call 2,
re_k_mc3_P02,R1724.6,P02:re key macro call 3,
m_k_mc3_P02,R1724.7,P02:mem macro call 3,
re_k_mc4_P02,R1725.0,P02:re key macro call 4,
m_k_mc4_P02,R1725.1,P02:mem key macro call 4,
m_mchd_P02,R1725.2,P02:mem hd selected before,
mcmoden_P02,R1725.3,P02:macro call mode enable,
mc_modeok_P02,R1725.4,P02:mc mode change finsihed,
dmcfin_P02,R1725.5,P02:delay mode completion,
K_MMEM_P02,R1900.0,P02:key mode mem,
K_MEDT_P02,R1900.1,P02:key mode edit,
K_MMDI_P02,R1900.2,P02:key mode mdi,
K_DNC_P02,R1900.3,P02:key dnc operation mode,
K_MREF_P02,R1900.4,P02:key mode ref,
K_MJ_P02,R1900.5,P02:key mode jog,
K_INC_P02,R1900.6,P02:key inc feed,
K_HD_P02,R1900.7,P02:key handle,
K_SBK_P02,R1902.0,P02:key single block,
K_SKIP_P02,R1902.1,P02:key block skip,
K_OSTP_P02,R1902.2,P02:key optional stop m01,
K_PGMT_P02,R1902.3,P02:key program test,
K_DRN_P02,R1902.4,P02:key dry run,
K_REST_P02,R1902.5,P02:key program restart,
K_TEACH_P02,R1902.6,P02:key teach in,
K_ST_P02,R1903.0,P02:key cycle start,
K_CYSP_P02,R1903.1,P02:key cycle stop,
K_PGSP_P02,R1903.2,P02:pgm stop key,
K_RST_P02,R1903.3,P02:reset key,
K_1AX_P02,R1904.0,P02:key 1st axis,
K_2AX_P02,R1904.1,P02:key 2nd axis,
K_3AX_P02,R1904.2,P02:key 3rd axis,
K_4AX_P02,R1904.3,P02:key 4th axis,
K_5AX_P02,R1904.4,P02:key 5th axis,
K_6AX_P02,R1904.5,P02:key 6th axis,
K_7AX_P02,R1904.6,P02:key 7th axis,
